"","genes","module","cox21.pvalue","cox21.estimate","cox36.pvalue","cox36.estimate","connect21.kwithin","connect36.kwithin"
"4944","DAGLA","turquoise",0.0338023448929588,-0.0772625530251775,0.149257974792296,-0.0832709142300157,9.80276458674491,4.77268785508117
"4945","DAGLB","blue",0.794744795154228,0.0106487271775112,0.790186664162446,-0.0187874130267683,0.242104001081206,0.684417852259153
"4946","DDB1","turquoise",0.215666289184468,-0.0428216006008029,0.461846061922163,-0.0437947026698505,3.05178472630303,0.759065212560537
"4947","DAK","turquoise",0.288458924979181,-0.085674114545517,0.304656736882332,-0.123121911183671,0.467501006473605,0.291781964382818
"4948","DALRD3","turquoise",0.104465203775049,-0.098709471329357,0.848483737369743,0.0209384841854484,56.208761893182,5.72265019695568
"4949","NDUFAF3","turquoise",0.055576788321464,-0.233847587183799,0.243115219595177,-0.239338400312967,8.8966586797116,1.18480687054187
"4950","MIR425","blue",0.777799700049438,0.0334389065862053,0.0946499343986552,-0.305686754968144,4.18046944514705,5.07881442487887
"4951","MIR191","turquoise",0.876001020396214,0.0116843761773203,0.596891637023496,-0.0661673606210303,0.191570979912625,0.10592802303605
"4952","DAND5","grey",0.671317707172931,-0.0405439634571264,0.338452943954838,0.157618419159399,0.00256921706310251,0.000123376519229595
"4953","DAO","turquoise",0.790493891817102,0.0184755891096123,0.172245456319173,-0.187420170232859,104.561676048238,1.21518328573639
"4954","DAOA","turquoise",0.855181832504273,0.0107193523664643,0.0206852779894619,-0.201814393216185,0.0912330465642849,0.00571094593341716
"4955","DAP","turquoise",0.359810067145966,-0.0389620050171539,0.513013320156851,-0.052840529751615,124.572489529208,49.9078932463247
"4956","YY1AP1","brown",0.554983477786835,0.0348617087246575,0.442846944860562,-0.0617954732176495,1.70664771097878,4.18972662136143
"4957","DAPK1","yellow",0.1053074919419,0.030846302173298,0.101971620863007,0.0426331367452417,0.38432440194117,0.603351451959685
"4958","DAPK2","turquoise",0.051897479200619,-0.0905941591471205,0.0177762682227726,-0.178615043078688,7.01650899574593,1.46990788111162
"4959","DAPK3","grey",0.925594249432747,-0.00361588955264355,0.780341974053099,-0.0187958042868785,0.00143336962011494,0.000352223195427824
"4960","DAPL1","grey",0.633933688604394,0.0197193151555361,0.060578948308543,0.115812300351145,0.000567657669017945,0.000344711589251159
